timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 01:00:40.137,2026-03-04 01:00:33.605,N7118-3JJ6,6532.000
2026-03-04 01:00:40.238,2026-03-04 01:00:33.707,N7119-IE7D,6531.000
2026-03-04 01:00:40.348,2026-03-04 01:00:33.809,N7120-G909,6539.000
2026-03-04 01:00:40.438,2026-03-04 01:00:33.910,N7121-2C3J,6528.000
2026-03-04 01:00:40.538,2026-03-04 01:00:34.012,N7122-7252,6526.000
2026-03-04 01:00:40.689,2026-03-04 01:00:34.113,N7123-61G8,6576.000
2026-03-04 01:00:40.789,2026-03-04 01:00:34.215,N7124-B7B4,6574.000
2026-03-04 01:00:40.839,2026-03-04 01:00:34.317,N7125-1EC8,6522.000
2026-03-04 01:00:40.989,2026-03-04 01:00:34.418,N7126-55DJ,6571.000
2026-03-04 01:00:41.089,2026-03-04 01:00:34.520,N7127-4CF9,6569.000
2026-03-04 01:00:41.146,2026-03-04 01:00:34.621,N7128-2GGF,6525.000
2026-03-04 01:00:41.290,2026-03-04 01:00:34.723,N7129-9IF0,6567.000
2026-03-04 01:00:41.390,2026-03-04 01:00:34.824,N7130-IBD2,6566.000
2026-03-04 01:00:41.490,2026-03-04 01:00:34.926,N7131-2H51,6564.000
2026-03-04 01:00:41.590,2026-03-04 01:00:35.027,N7132-BG6D,6563.000
2026-03-04 01:00:41.691,2026-03-04 01:00:35.129,N7133-CA7H,6562.000
2026-03-04 01:00:41.791,2026-03-04 01:00:35.230,N7134-05I0,6561.000
2026-03-04 01:00:41.891,2026-03-04 01:00:35.332,N7135-9CAD,6559.000
2026-03-04 01:00:41.991,2026-03-04 01:00:35.433,N7136-18JC,6558.000
2026-03-04 01:00:42.091,2026-03-04 01:00:35.534,N7137-GBB8,6557.000
2026-03-04 01:00:42.192,2026-03-04 01:00:35.636,N7138-6513,6556.000
2026-03-04 01:00:42.292,2026-03-04 01:00:35.737,N7139-FFA2,6555.000
2026-03-04 01:00:42.392,2026-03-04 01:00:35.839,N7140-HDE1,6553.000
2026-03-04 01:00:42.492,2026-03-04 01:00:35.940,N7141-GBEA,6552.000
2026-03-04 01:00:42.592,2026-03-04 01:00:36.042,N7142-J7E3,6550.000
2026-03-04 01:00:42.693,2026-03-04 01:00:36.143,N7143-B2JB,6550.000
2026-03-04 01:00:42.793,2026-03-04 01:00:36.245,N7144-JA64,6548.000
2026-03-04 01:00:42.893,2026-03-04 01:00:36.346,N7145-H9AE,6547.000
2026-03-04 01:00:42.993,2026-03-04 01:00:36.448,N7146-DB78,6545.000
2026-03-04 01:00:43.093,2026-03-04 01:00:36.549,N7147-I024,6544.000
2026-03-04 01:00:43.194,2026-03-04 01:00:36.651,N7148-IIG5,6543.000
2026-03-04 01:00:43.294,2026-03-04 01:00:36.752,N7149-E552,6542.000
2026-03-04 01:00:43.394,2026-03-04 01:00:36.854,N7150-797H,6540.000
2026-03-04 01:00:43.495,2026-03-04 01:00:36.955,N7151-E3G3,6540.000
2026-03-04 01:00:43.595,2026-03-04 01:00:37.057,N7152-16JG,6538.000
2026-03-04 01:00:43.695,2026-03-04 01:00:37.158,N7153-C4E7,6537.000
2026-03-04 01:00:43.795,2026-03-04 01:00:37.260,N7154-128J,6535.000
2026-03-04 01:00:43.895,2026-03-04 01:00:37.361,N7155-6C99,6534.000
2026-03-04 01:00:43.996,2026-03-04 01:00:37.462,N7156-AFC3,6534.000
2026-03-04 01:00:44.096,2026-03-04 01:00:37.564,N7157-C0B6,6532.000
2026-03-04 01:00:44.196,2026-03-04 01:00:37.666,N7158-1HF9,6530.000
2026-03-04 01:00:44.297,2026-03-04 01:00:37.767,N7159-94HD,6530.000
2026-03-04 01:00:44.407,2026-03-04 01:00:37.869,N7160-CEA1,6538.000
2026-03-04 01:00:44.497,2026-03-04 01:00:37.970,N7161-EI7F,6527.000
2026-03-04 01:00:44.598,2026-03-04 01:00:38.071,N7162-DGG3,6527.000
2026-03-04 01:00:44.748,2026-03-04 01:00:38.173,N7163-F27H,6575.000
2026-03-04 01:00:44.848,2026-03-04 01:00:38.274,N7164-1FJE,6574.000
2026-03-04 01:00:44.898,2026-03-04 01:00:38.376,N7165-H6I8,6522.000
2026-03-04 01:00:45.048,2026-03-04 01:00:38.477,N7166-95JG,6571.000
2026-03-04 01:00:45.149,2026-03-04 01:00:38.579,N7167-F4A4,6570.000
2026-03-04 01:00:45.199,2026-03-04 01:00:38.680,N7168-0E50,6519.000
2026-03-04 01:00:45.349,2026-03-04 01:00:38.782,N7169-8DJC,6567.000
2026-03-04 01:00:45.449,2026-03-04 01:00:38.883,N7170-C0D1,6566.000
2026-03-04 01:00:45.550,2026-03-04 01:00:38.985,N7171-AF5C,6565.000
2026-03-04 01:00:45.650,2026-03-04 01:00:39.086,N7172-78HA,6564.000
2026-03-04 01:00:45.750,2026-03-04 01:00:39.188,N7173-GIGJ,6562.000
2026-03-04 01:00:45.850,2026-03-04 01:00:39.289,N7174-0AI7,6561.000
2026-03-04 01:00:45.951,2026-03-04 01:00:39.390,N7175-4H7H,6561.000
2026-03-04 01:00:46.051,2026-03-04 01:00:39.492,N7176-8D02,6559.000
2026-03-04 01:00:46.151,2026-03-04 01:00:39.593,N7177-81EE,6558.000
2026-03-04 01:00:46.251,2026-03-04 01:00:39.695,N7178-0D3A,6556.000
2026-03-04 01:00:46.351,2026-03-04 01:00:39.796,N7179-0805,6555.000
2026-03-04 01:00:46.452,2026-03-04 01:00:39.898,N7180-8CIJ,6554.000
2026-03-04 01:00:46.552,2026-03-04 01:00:39.999,N7181-D13G,6553.000
2026-03-04 01:00:46.652,2026-03-04 01:00:40.101,N7182-FA78,6551.000
2026-03-04 01:00:46.752,2026-03-04 01:00:40.202,N7183-222C,6550.000
2026-03-04 01:00:46.852,2026-03-04 01:00:40.304,N7184-3I24,6548.000
2026-03-04 01:00:46.953,2026-03-04 01:00:40.405,N7185-2G3A,6548.000
2026-03-04 01:00:47.053,2026-03-04 01:00:40.507,N7186-564J,6546.000
2026-03-04 01:00:47.153,2026-03-04 01:00:40.608,N7187-CI83,6545.000
2026-03-04 01:00:47.253,2026-03-04 01:00:40.710,N7188-9H5A,6543.000
2026-03-04 01:00:47.353,2026-03-04 01:00:40.811,N7189-09EE,6542.000
2026-03-04 01:00:47.454,2026-03-04 01:00:40.913,N7190-2629,6541.000
2026-03-04 01:00:47.554,2026-03-04 01:00:41.014,N7191-HDG4,6540.000
2026-03-04 01:00:47.654,2026-03-04 01:00:41.116,N7192-91C1,6538.000
2026-03-04 01:00:47.755,2026-03-04 01:00:41.217,N7193-H2BB,6538.000
2026-03-04 01:00:47.855,2026-03-04 01:00:41.319,N7194-1E0B,6536.000
2026-03-04 01:00:47.955,2026-03-04 01:00:41.420,N7195-8F9D,6535.000
2026-03-04 01:00:48.055,2026-03-04 01:00:41.522,N7196-C817,6533.000
2026-03-04 01:00:48.155,2026-03-04 01:00:41.623,N7197-5D10,6532.000
2026-03-04 01:00:48.256,2026-03-04 01:00:41.725,N7198-7BDB,6531.000
2026-03-04 01:00:48.356,2026-03-04 01:00:41.827,N7199-3JI3,6529.000
